# File: Ref_veg_carbon_Mg_per_ha.csv
# Title: Reference veg and soil C density for HYDE land cells
# Units: Mg/ha
# Author: moirai
# Description: ref veg soil and veg carbon density (Mg/ha) for hyde land cells in country X glu X land type
# Original source: soil c for sage pot veg; veg c for sage pot veg; reference veg; country raster; new glu raster; hyde land area
# Source: https://github.com/JGCRI/moirai
# Column types: ciicnnnnnn 
# ----------
iso,glu_code,land_type,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
afg,52,901,soil_c (0-100 cms),43,40,30,50,40,50
afg,52,901,veg_c (below ground biomass),2,1,1,3,1,2
afg,52,902,soil_c (0-100 cms),18,40,30,50,40,50
afg,52,902,veg_c (below ground biomass),1,1,1,3,1,2
afg,52,1001,soil_c (0-100 cms),154,100,10,690,70,180
afg,52,1001,veg_c (below ground biomass),2,2,0,20,2,3
afg,52,1002,soil_c (0-100 cms),96,100,10,690,70,180
afg,52,1002,veg_c (above ground biomass),1,1,0,6,0,1
afg,52,1002,veg_c (below ground biomass),2,2,0,19,1,3
afg,52,1101,soil_c (0-100 cms),47,50,30,90,40,50
afg,52,1101,veg_c (above ground biomass),1,0,0,1,0,1
afg,52,1101,veg_c (below ground biomass),2,2,1,5,1,2
afg,52,1102,soil_c (0-100 cms),46,50,30,90,40,50
afg,52,1102,veg_c (above ground biomass),1,0,0,1,0,1
afg,52,1102,veg_c (below ground biomass),2,2,1,5,1,2
afg,52,1201,soil_c (0-100 cms),99,50,20,670,30,110
afg,52,1201,veg_c (below ground biomass),1,2,0,13,1,2
afg,52,1202,soil_c (0-100 cms),48,50,20,670,30,110
afg,52,1202,veg_c (above ground biomass),1,1,0,5,0,1
afg,52,1202,veg_c (below ground biomass),1,2,0,13,1,2
afg,52,1401,soil_c (0-100 cms),31,20,20,80,20,40
afg,52,1401,veg_c (below ground biomass),1,0,0,1,0,0
afg,52,1402,soil_c (0-100 cms),29,20,20,80,20,40
afg,52,1402,veg_c (below ground biomass),1,0,0,1,0,0
afg,58,401,soil_c (0-100 cms),97,100,50,190,70,130
afg,58,401,veg_c (above ground biomass),1,1,0,1,0,1
afg,58,401,veg_c (below ground biomass),3,3,1,6,1,3
afg,58,402,soil_c (0-100 cms),88,100,50,190,70,130
afg,58,402,veg_c (above ground biomass),1,1,0,2,0,1
afg,58,402,veg_c (below ground biomass),2,3,1,6,1,3
afg,58,405,soil_c (0-100 cms),117,100,50,190,70,130
afg,58,405,veg_c (above ground biomass),1,1,0,2,0,1
afg,58,405,veg_c (below ground biomass),2,2,1,5,1,3
afg,58,407,soil_c (0-100 cms),122,100,50,190,70,130
afg,58,407,veg_c (above ground biomass),1,1,0,2,0,1
afg,58,407,veg_c (below ground biomass),3,2,1,5,1,3
afg,58,901,soil_c (0-100 cms),145,110,40,570,90,160
afg,58,901,veg_c (above ground biomass),1,0,0,1,0,1
afg,58,901,veg_c (below ground biomass),3,1,1,5,1,3
afg,58,902,soil_c (0-100 cms),93,110,40,570,90,160
afg,58,902,veg_c (above ground biomass),1,0,0,2,0,1
afg,58,902,veg_c (below ground biomass),1,1,1,4,1,3
afg,58,1001,soil_c (0-100 cms),151,110,20,760,80,170
afg,58,1001,veg_c (above ground biomass),1,1,0,13,0,1
afg,58,1001,veg_c (below ground biomass),2,2,0,49,2,3
afg,58,1002,soil_c (0-100 cms),109,110,20,760,80,170
afg,58,1002,veg_c (above ground biomass),1,1,0,15,0,1
